Loaded fvecs: 200 vectors of dimension 768 from ./quantile_partitions/tripclick_equality/tripclick_equality_Q3_query.fvecs
Loaded label sets: 200
Loaded label sets: 1055976
Loaded fvecs: 1055976 vectors of dimension 768 from /root/work/data/filterbenchmark/tripclick/tripclick_base.fvecs
Rebuilding two-tier inverted index for 7734 labelsets...
Found 29 unique labels
Two-tier index configuration:
  Tier 1 (dense): 29 labels (freq >= 256)
  Tier 2 (sparse): 0 labels
  Tier 1 memory: 2.61441e-05 GB
Building Tier 1 dense bitsets...
Building Tier 2 sparse index...
Two-tier index rebuilt successfully!
Loaded ground truth: 200
Example: first query has 10
537179,324036,381833,339721,951251,45191,527959,354282,375148,365714,
ef,recall,qps,dist_comp,hops
1700,1,3378.97,612.34,612.34
1400,1,3418.53,612.34,612.34
1100,1,3427.78,612.34,612.34
1000,1,3431.75,612.34,612.34
900,1,3408.54,612.34,612.34
800,1,3414.29,612.34,612.34
700,1,3443.53,612.025,595.565
600,1,3543.59,610.21,557.035
500,1,3733.65,605.265,493.345
400,1,4076.89,592.435,400.085
300,1,4560.71,565.04,300.19
250,1,5007.05,543.54,250.285
200,1,5551.46,512.235,200.39
180,1,5899.88,496.135,180.435
160,1,6235.36,476.805,160.53
140,1,6709.76,454.8,140.615
120,1,7316.68,427.99,120.69
100,0.999,8038.01,395.465,100.775
90,0.999,8560.31,376.995,90.79
80,0.999,9098.3,356.29,80.855
70,0.999,9808.27,332.61,70.94
60,0.998,10687.8,305.985,61.015
55,0.9975,11247.6,291.89,56.18
50,0.9965,11846,276.55,51.23
45,0.9945,12502.1,260.205,46.23
40,0.9915,13381.4,242.705,41.385
35,0.9895,14367.2,224.43,36.495
30,0.984,15703.6,204.775,31.67
25,0.9755,17390,183.565,26.785
20,0.9585,19571.1,160.96,22.06
15,0.9275,22841,136.005,17.49
10,0.875,28612.4,108.115,12.86
